FID,OBJECTID,barcode,species_co,fish_count,site_alias,start_date,start_time,finish_date,finish_time,adj_lat,adj_long1,water_dept,water_temp,code_meani,common_nam,code,family_nam,scientific,taxonomic_,code_statu,adj_long2,x,y,code_mean
23,24,062111BRPLefd01,CARP,15,BRPLE01,6/21/2011,0:00:00,6/21/2011,0:00:00,41.567009,41.567009,0,0,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07839966,910405.6669,4613413.999, 
29,30,062111BRPLefd03,CARP,5,BRPLE03,6/21/2011,0:00:00,6/21/2011,0:00:00,41.540771,41.540771,0,0,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08260345,910224.5136,4610479.914, 
34,35,062111BRPLefd04,CARP,58,BRPLE04,6/21/2011,0:00:00,6/21/2011,0:00:00,41.509734,41.509734,0,0,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.09220123,909618.5705,4606986.938, 
0,1,072011BRPLefd01,CARP,1,BRPLE01,7/20/2011,13:20:00,7/20/2011,0:00:00,41.56492,41.56492,0,31.66,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07830048,910429.1058,4613182.556, 
8,9,072011BRPLefd02,CARP,8,BRPLE02,7/20/2011,13:46:00,7/20/2011,0:00:00,41.5592,41.5592,0,31.66,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07790375,910497.8617,4612549.092, 
18,19,072011BRPLefd04,CARP,9,BRPLE04,7/20/2011,14:44:00,7/20/2011,0:00:00,41.51152,41.51152,0,32.55,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.09120178,909693.2685,4607190.201, 
21,22,072011BRPLefd03,CARP,15,BRPLE03,7/20/2011,14:15:00,7/20/2011,0:00:00,41.53937,41.53937,0,31.66,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08270264,910225.1216,4610323.834, 
2,3,081111BRPLtra01,CARP,165,BRPLN01,8/11/2011,7:25:00,8/11/2011,8:50:00,41.507717,41.507717,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.09420013,909464.4307,4606753.416, 
37,38,081111BRPLtra05,CARP,33,BRPLN05,8/11/2011,7:45:00,8/11/2011,8:23:00,41.5076,41.5076,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.09269714,909593.2031,4606747.705, 
39,40,081111BRPLtra04,CARP,18,BRPLN04,8/11/2011,7:28:00,8/11/2011,8:50:00,41.508167,41.508167,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.09390259,909489.6145,4606804.992, 
4,5,082511BRPLefd02,CARP,4,BRPLE02,8/25/2011,8:55:00,8/25/2011,0:00:00,41.55616,41.55616,0,27.55,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07759857,910547.0673,4612213.15, 
13,14,082511BRPLefd03,CARP,1,BRPLE03,8/25/2011,9:24:00,8/25/2011,0:00:00,41.54169,41.54169,0,27.55,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08239746,910232.0592,4610582.75, 
5,6,091311BRPLefd02,CARP,3,BRPLE02,9/13/2011,10:10:00,9/13/2011,10:25:00,41.55872,41.55872,0,24.77,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07779694,910513.6371,4612496.506, 
11,12,091311BRPLefd01,CARP,3,BRPLE01,9/13/2011,9:44:00,9/13/2011,9:59:00,41.56543,41.56543,0,24.77,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07839966,910416.9597,4613238.692, 
16,17,091311BRPLefd03,CARP,3,BRPLE03,9/13/2011,10:52:00,9/13/2011,11:07:00,41.53931,41.53931,0,24.77,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08300018,910196.2087,4610315.499, 
17,18,091311BRPLefd04,CARP,4,BRPLE04,9/13/2011,11:23:00,9/13/2011,11:38:00,41.51207,41.51207,0,24.77,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.09079742,909721.638,4607253.102, 
1,2,100411BRPLefd04,CARP,2,BRPLE04,10/4/2011,11:39:00,10/4/2011,11:54:00,41.51172,41.51172,0,19.77,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.09130096,909681.176,4607211.798, 
7,8,100411BRPLefd02,CARP,3,BRPLE02,10/4/2011,10:16:00,10/4/2011,10:31:00,41.55845,41.55845,0,20,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07779694,910509.6221,4612466.19, 
10,11,100411BRPLefd01,CARP,2,BRPLE01,10/4/2011,9:45:00,10/4/2011,10:00:00,41.56541,41.56541,0,20,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07830048,910425.36,4613236.944, 
15,16,100411BRPLefd03,CARP,1,BRPLE03,10/4/2011,10:55:00,10/4/2011,11:10:00,41.5405,41.5405,0,20,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08280182,910204.5847,4610448.579, 
3,4,102011BRPLtra01,CARP,18,BRPLN01,10/20/2011,8:40:00,10/20/2011,9:00:00,41.507433,41.507433,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.09470367,909424.1842,4606719.481, 
26,27,102011BRPLtra06,CARP,3,BRPLN06,10/20/2011,10:33:00,10/20/2011,10:46:00,41.549317,41.549317,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.0802002,910367.0515,4611440.341, 
38,39,102011BRPLtra02,CARP,4,BRPLN02,10/20/2011,9:05:00,10/20/2011,9:21:00,41.509367,41.509367,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.09269714,909580.7616,4606943.892, 
30,31,110311BRPLgil04,CARP,3,BRPLN04,11/3/2011,9:20:00,11/3/2011,9:50:00,41.536367,41.536367,0,0,Commercial gill net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08280182,910233.3205,4609989.675, 
33,34,110311BRPLgil02,CARP,7,BRPLN02,11/3/2011,8:00:00,11/3/2011,8:35:00,41.51115,41.51115,0,0,Commercial gill net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.0911026,909700.0664,4607149.359, 
41,42,110311BRPLgil01,CARP,8,BRPLN01,11/3/2011,7:15:00,11/3/2011,7:50:00,41.506767,41.506767,0,0,Commercial gill net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.09559631,909355.1378,4606641.343, 
9,10,111411BRPLefd01,CARP,7,BRPLE01,11/14/2011,9:04:00,11/14/2011,9:19:00,41.56442,41.56442,0,17.05,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07800293,910453.917,4613128.257, 
40,41,111611BRPLtra01,CARP,18,BRPLN01,11/16/2011,8:20:00,11/16/2011,8:43:00,41.507433,41.507433,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.09449768,909443.9306,4606720.604, 
14,15,120811BRPLtra06,CARP,10,BRPLN06,12/8/2011,9:27:00,12/8/2011,9:46:00,41.538333,41.538333,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08260345,910243.1467,4610209.309, 
27,28,120811BRPLtra02,CARP,1,BRPLN02,12/8/2011,8:18:00,12/8/2011,8:32:00,41.546267,41.546267,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08129883,910295.9947,4611096.419, 
31,32,120811BRPLtra05,CARP,1,BRPLN05,12/8/2011,9:10:00,12/8/2011,0:00:00,41.540183,41.540183,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08360291,910146.7474,4610409.956, 
47,48,1952B,CARP,2,Brandon Road,5/4/2012,12:07:00,5/4/2012,12:22:00,41.56211498,41.56211498,0,20.3,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07800293,910473.8074,4612872.541, 
43,44,1953B,CARP,11,Brandon Road,5/14/2012,12:40:00,5/14/2012,12:55:00,41.557665,41.557665,0,20.8,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07769775,910528.2851,4612379.782, 
50,51,1954B,CARP,13,Brandon Road,5/14/2012,13:30:00,5/14/2012,13:45:00,41.54680474,41.54680474,0,19.8,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08059692,910351.3821,4611159.502, 
54,55,1955B,CARP,13,Brandon Road,5/14/2012,14:03:00,5/14/2012,14:18:00,41.53024428,41.53024428,0,19.6,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08599854,910007.3682,4609294.531, 
42,43,1975B,CARP,8,Brandon Road,6/18/2012,11:31:00,6/18/2012,11:46:00,41.557395,41.557395,0,28.1,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07769775,910530.6404,4612349.83, 
48,49,1972B,CARP,8,Brandon Road,6/18/2012,12:04:00,6/18/2012,12:19:00,41.56252498,41.56252498,0,28.1,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07800293,910469.9234,4612918.006, 
49,50,1974B,CARP,3,Brandon Road,6/18/2012,10:51:00,6/18/2012,11:06:00,41.54688476,41.54688476,0,28.1,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08039856,910364.9276,4611169.191, 
53,54,1973B,CARP,21,Brandon Road,6/18/2012,10:24:00,6/18/2012,10:39:00,41.53022431,41.53022431,0,28.1,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08560181,910042.6383,4609294.317, 
63,64,879B,CARP,1,Brandon Pool,6/28/2012,0:00:00,6/28/2012,0:00:00,41.55379,41.55379,0,0,Commercial gill net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07859802,910471.0829,4611944.716, 
80,81,881B,CARP,2,Brandon Pool,6/28/2012,0:00:00,6/28/2012,0:00:00,41.50964,41.50964,0,0,Commercial gill net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.09220123,909615.3429,4606976.28, 
57,58,1101B,CARP,1,Brandon Road,7/26/2012,9:56:00,7/26/2012,10:07:00,41.554,41.554,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07830048,910499.0307,4611969.713, 
71,72,1391B,CARP,2,Brandon Rd.,8/15/2012,10:58:00,8/15/2012,11:13:00,41.54028,41.54028,0,0,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08260345,910226.3518,4610425.306, 
79,80,1392B,CARP,2,Brandon Rd.,8/15/2012,11:31:00,8/15/2012,11:46:00,41.56848,41.56848,0,0,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07820129,910414.1507,4613578.4, 
60,61,1504B,CARP,1,Brandon Road,8/29/2012,11:45:00,8/31/2012,8:02:00,41.56823,41.56823,0,0,"Hoop netting, 6' diameter",Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07839966,910396.6457,4613549.542, 
75,76,1507B,CARP,2,Brandon Road,8/29/2012,13:09:00,8/31/2012,8:30:00,41.51135,41.51135,0,0,"Hoop netting, 6' diameter",Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.09079742,909726.8274,4607173.168, 
56,57,1592B,CARP,4,Brandon Road,9/10/2012,13:44:00,9/10/2012,13:59:00,41.55655,41.55655,0,0,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07769775,910535.045,4612255.922, 
58,59,1591B,CARP,1,Brandon Road,9/10/2012,13:22:00,9/10/2012,13:37:00,41.56696,41.56696,0,0,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07839966,910408.5234,4613408.702, 
78,79,1594B,CARP,1,Brandon Road,9/10/2012,14:52:00,9/10/2012,15:07:00,41.51059,41.51059,0,0,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.09140015,909676.855,4607085.638, 
67,68,1625B,CARP,2,Brandon Road,9/14/2012,7:02:00,9/14/2012,7:13:00,41.54827,41.54827,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08049774,910350.1373,4611322.706, 
68,69,1623B,CARP,1,Brandon Road,9/14/2012,6:38:00,9/14/2012,6:49:00,41.54305,41.54305,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08239746,910228.5331,4610734.095, 
74,75,1628B,CARP,2,Brandon Road,9/14/2012,6:45:00,9/14/2012,7:00:00,41.51271,41.51271,0,0,Commercial gill net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08969879,909805.4877,4607329.191, 
81,82,1627B,CARP,2,Brandon Road,9/14/2012,6:30:00,9/14/2012,6:45:00,41.5095,41.5095,0,0,Commercial gill net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.09279633,909571.6405,4606958.193, 
82,83,1629B,CARP,1,Brandon Road,9/14/2012,7:00:00,9/14/2012,7:20:00,41.51025,41.51025,0,0,Commercial gill net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.09459686,909412.7573,4607032.725, 
83,84,1626B,CARP,8,Brandon Road,9/14/2012,6:15:00,9/14/2012,6:30:00,41.50669,41.50669,0,0,Commercial gill net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.09549713,909365.1789,4606633.334, 
61,62,2086B,CARP,1,Brandon,9/21/2012,7:05:00,9/21/2012,0:00:00,41.55391,41.55391,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07849884,910486.2347,4611958.953, 
66,67,2085B,CARP,1,Brandon,9/21/2012,6:57:00,9/21/2012,7:02:00,41.54873,41.54873,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08029938,910361.8617,4611374.634, 
59,60,24A,CARP,1,Brandon Rd.,9/26/2012,11:58:00,9/28/2012,9:12:00,41.55367,41.55367,0,24.4,"Hoop netting, 6' diameter",Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07839966,910490.3034,4611932.442, 
64,65,28A,CARP,1,Brandon Rd.,9/26/2012,11:48:00,9/27/2012,9:45:00,41.55416,41.55416,0,24.4,Mini fyke netting,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.0789032,910449.6399,4611984.721, 
70,71,25A,CARP,1,Brandon Rd.,9/26/2012,12:08:00,9/28/2012,9:22:00,41.53957,41.53957,0,24.4,"Hoop netting, 6' diameter",Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08249664,910235.9445,4610346.738, 
76,77,26A,CARP,1,Brandon Rd.,9/26/2012,12:30:00,9/28/2012,9:33:00,41.51116,41.51116,0,24.4,"Hoop netting, 6' diameter",Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.09089661,909719.1116,4607151.558, 
45,46,1635B,CARP,3,Brandon Rd.,10/15/2012,14:29:00,10/15/2012,14:44:00,41.558615,41.558615,0,16.9,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07769775,910517.7745,4612485.042, 
46,47,1634B,CARP,4,Brandon Rd.,10/15/2012,13:55:00,10/15/2012,14:10:00,41.56019499,41.56019499,0,16.9,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07779694,910501.3424,4612660.165, 
51,52,1636B,CARP,4,Brandon Rd.,10/15/2012,15:03:00,10/15/2012,15:18:00,41.54724473,41.54724473,0,16.9,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08080292,910333.2558,4611207.495, 
52,53,1637B,CARP,1,Brandon Rd.,10/15/2012,15:40:00,10/15/2012,15:55:00,41.53112435,41.53112435,0,16.9,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08509827,910072.0713,4609396.287, 
69,70,1660B,CARP,1,Brandon Rd.,10/31/2012,17:12:00,11/2/2012,10:25:00,41.5398,41.5398,0,0,"Hoop netting, 6' diameter",Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08249664,910236.3969,4610372.393, 
77,78,1661B,CARP,1,Brandon Rd.,10/31/2012,17:50:00,11/2/2012,11:27:00,41.53962712,41.53962712,0,0,"Hoop netting, 6' diameter",Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08360291,910144.271,4610347.873, 
65,66,151A,CARP,14,Brandon Rd.,11/9/2012,6:45:00,11/9/2012,7:00:00,41.5494,41.5494,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08010101,910374.8005,4611450.032, 
72,73,149A,CARP,1,Brandon Rd.,11/9/2012,6:15:00,11/9/2012,6:30:00,41.54199,41.54199,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.082901,910189.4129,4610613.746, 
73,74,148A,CARP,1,Brandon Rd.,11/9/2012,6:00:00,11/9/2012,6:15:00,41.53939,41.53939,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08350372,910153.6817,4610321.987, 
44,45,1794B,CARP,18,Brandon Road,11/15/2012,10:21:00,11/15/2012,10:36:00,41.55658499,41.55658499,0,0,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07769775,910531.9578,4612259.645, 
55,56,1796B,CARP,2,Brandon Road,11/15/2012,11:56:00,11/15/2012,12:11:00,41.52957427,41.52957427,0,0,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08599854,910009.0624,4609219.969, 
62,63,447A,CARP,2,Brandon Rd.,12/7/2012,8:20:00,12/7/2012,8:35:00,41.56666,41.56666,0,0,Commercial gill net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07849884,910398.3356,4613374.69, 
172,173,1766AA,CARP,2,Brandon Pool,1/8/2013,9:00:00,1/8/2013,9:40:00,41.54928,41.54928,0,0,Commercial gill net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.0802002,910373.0152,4611436.558, 
178,179,1769AA,CARP,4,Brandon Pool,1/8/2013,10:25:00,1/8/2013,10:45:00,41.53838,41.53838,0,0,Commercial gill net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08270264,910226.2952,4610213.584, 
177,178,1738AA,CARP,2,Brandon Road Upper,2/8/2013,8:37:00,2/8/2013,8:52:00,41.53789,41.53789,0,0,Commercial gill net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08229828,910265.0544,4610161.195, 
165,166,1640AA,CARP,1,Brandon Pool,3/14/2013,10:33:00,3/14/2013,10:53:00,41.55721,41.55721,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07700348,910588.1412,4612332.501, 
166,167,1644AA,CARP,8,Brandon Pool,3/14/2013,8:17:00,3/14/2013,8:35:00,41.55597,41.55597,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07790375,910517.0842,4612190.265, 
167,168,1646AA,CARP,1,Brandon Pool,3/14/2013,8:58:00,3/14/2013,9:10:00,41.56155,41.56155,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07810211,910465.7652,4612809.124, 
170,171,1641AA,CARP,9,Brandon Pool,3/14/2013,11:01:00,3/14/2013,11:20:00,41.55325,41.55325,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07879639,910462.4145,4611884.047, 
173,174,1643AA,CARP,1,Brandon Pool,3/14/2013,11:47:00,3/14/2013,12:03:00,41.5414,41.5414,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08049774,910398.1523,4610559.914, 
176,177,1642AA,CARP,14,Brandon Pool,3/14/2013,11:27:00,3/14/2013,11:46:00,41.53944,41.53944,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08190155,910287.065,4610335.169, 
89,90,58B,CARP,25,Brandon Rd.,3/18/2013,10:27:00,3/18/2013,10:42:00,41.53600419,41.53600419,0,47.1,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08280182,910233.8672,4609949.278, 
99,100,57B,CARP,2,Brandon Rd.,3/18/2013,9:50:00,3/18/2013,10:05:00,41.54062604,41.54062604,0,47.7,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.082901,910196.2731,4610462.15, 
128,129,59B,CARP,4,Brandon Rd.,3/18/2013,0:00:00,3/18/2013,0:00:00,41.526181,41.526181,0,47.1,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08599854,910033.7708,4608843.265, 
147,148,60B,CARP,4,Brandon Rd.,3/18/2013,11:00:00,3/18/2013,11:15:00,41.50838526,41.50838526,0,43.2,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.09320068,909542.2615,4606832.307, 
117,118,67B,CARP,1,Brandon Rd.,3/21/2013,9:41:00,3/21/2013,9:56:00,41.52648678,41.52648678,0,40.3,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08630371,910002.3187,4608875.546, 
138,139,65B,CARP,7,Brandon Rd.,3/21/2013,9:16:00,3/21/2013,9:31:00,41.52553889,41.52553889,0,37.4,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08660126,909983.0164,4608768.821, 
164,165,68B,CARP,2,Brandon Rd.,3/21/2013,10:33:00,3/21/2013,10:48:00,41.50553172,41.50553172,0,39,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.09700012,909246.0974,4606497.499, 
92,93,74B,CARP,8,Brandon Rd.,4/1/2013,9:40:00,4/1/2013,9:55:00,41.53604446,41.53604446,0,0,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.082901,910231.7679,4609953.646, 
102,103,73B,CARP,3,Brandon Rd.,4/1/2013,9:12:00,4/1/2013,9:27:00,41.54071696,41.54071696,0,0,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08300018,910189.4728,4610471.893, 
124,125,75B,CARP,38,Brandon Rd.,4/1/2013,10:06:00,4/1/2013,10:21:00,41.526448,41.526448,0,0,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08640289,909994.1892,4608870.76, 
86,87,77B,CARP,5,Brandon Rd.,4/2/2013,8:42:00,4/2/2013,8:57:00,41.53556378,41.53556378,0,54.1,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08280182,910239.0608,4609900.499, 
115,116,79B,CARP,8,Brandon Rd.,4/2/2013,9:09:00,4/2/2013,9:24:00,41.53293516,41.53293516,0,46.6,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08380127,910174.9763,4609603.935, 
